Clonal	Subclonal
NA	MS4A2
NA	MS4A3
NA	MS4A4A
NA	MS4A5
NA	MS4A6A
NA	MS4A6E
NA	MS4A7
NA	MSANTD4
NA	MSC
NA	MSGN1
NA	MSH6
NA	MSL2
NA	MSMB
NA	MSRB1
NA	MST1
NA	MSTO1
NA	MSX1
NA	MSX2
NA	MT1A
NA	MT1F
NA	MT2A
NA	MTA3
NA	MTCH2
NA	MTFMT
NA	MTFR1
NA	MTG1
NA	MTHFD1L
NA	MTHFD2
NA	MTIF2
NA	MTIF3
NA	MTMR10
NA	MTMR2
NA	MTMR9
NA	MTO1
NA	MTPAP
NA	MTPN
NA	MTRF1
NA	MTRF1L
NA	MTSS1
NA	MTSS1L
NA	MTX1
NA	MTX2
NA	MTX3
NA	MUC1
NA	MUC3A
NA	MUC6
NA	MUL1
NA	MVD
NA	MVK
NA	MXD1
NA	MYADM
NA	MYBL1
NA	MYBPHL
NA	MYC
NA	MYD88
NA	MYEF2
NA	MYL1
NA	MYL10
NA	MYL12A
NA	MYL12B
NA	MYL4
NA	MYL5
NA	MYL6B
NA	MYLIP
NA	MYLK4
NA	MYLPF
NA	MYNN
NA	MYO5A
NA	MYOG
NA	MYOZ3
NA	MYPOP
NA	MZF1
NA	N4BP2L1
NA	N6AMT1
NA	NAA10
NA	NAA15
NA	NAA60
NA	NAAA
NA	NAALADL1
NA	NAB1
NA	NAB2
NA	NACA2
NA	NACC1
NA	NACC2
NA	NADK
NA	NAE1
NA	NAGA
NA	NAGK
NA	NAGPA
NA	NAMPT
NA	NANOG
NA	NANOS1
NA	NANOS2
NA	NANP
NA	NANS
NA	NAP1L4
NA	NAP1L5
NA	NAPA
NA	NARS2
NA	NASP
NA	NAT1
NA	NAT14
NA	NAT8L
NA	NAT9
NA	NBEAL1
NA	NBL1
NA	NBPF1
NA	NBPF10
NA	NBPF14
NA	NBPF16
NA	NCALD
NA	NCAPH
NA	NCBP1
NA	NCEH1
NA	NCF1
NA	NCK2
NA	NCL
NA	NCLN
NA	NCOA4
NA	NCS1
NA	NCSTN
NA	NDE1
NA	NDFIP2
NA	NDP
NA	NDRG3
NA	NDRG4
NA	NDST1
NA	NDST2
NA	NDUFA4
NA	NDUFA6
NA	NDUFA9
NA	NDUFAB1
NA	NDUFAF1
NA	NDUFB2
NA	NDUFB4
NA	NDUFB7
NA	NDUFB9
NA	NDUFC2-KCTD14
NA	NDUFS1
NA	NDUFS2
NA	NDUFS3
NA	NDUFS5
NA	NDUFS6
NA	NDUFV1
NA	NDUFV2
NA	NDUFV3
NA	NECAB2
NA	NECAP1
NA	NECAP2
NA	NEDD4
NA	NEDD9
NA	NEIL2
NA	NEK11
NA	NEK3
NA	NEK6
NA	NEK7
NA	NEU1
NA	NEUROD2
NA	NEUROD6
NA	NEUROG1
NA	NEUROG3
NA	NEXN
NA	NF2
NA	NFAM1
NA	NFE2L1
NA	NFE2L2
NA	NFE2L3
NA	NFKB2
NA	NFKBIA
NA	NFKBIB
NA	NFKBID
NA	NFKBIE
NA	NFKBIZ
NA	NFS1
NA	NFU1
NA	NFX1
NA	NFXL1
NA	NFYB
NA	NFYC
NA	NGDN
NA	NGEF
NA	NGRN
NA	NHLH2
NA	NHLRC2
NA	NHLRC3
NA	NHP2
NA	NICN1
NA	NIF3L1
NA	NINJ1
NA	NINJ2
NA	NINL
NA	NIPAL2
NA	NIPAL3
NA	NIPSNAP1
NA	NIT2
NA	NKAIN4
NA	NKAP
NA	NKIRAS1
NA	NKIRAS2
NA	NKX2-2
NA	NKX2-5
NA	NKX3-1
NA	NKX3-2
NA	NLE1
NA	NLRP6
NA	NMD3
NA	NME1-NME2
NA	NME7
NA	NMI
NA	NMNAT1
NA	NMNAT2
NA	NMNAT3
NA	NMRAL1
NA	NMT1
NA	NMU
NA	NNAT
NA	NODAL
NA	NOL10
NA	NOL7
NA	NOL8
NA	NOL9
NA	NOP56
NA	NOSIP
NA	NOVA2
NA	NOXA1
NA	NPBWR1
NA	NPC2
NA	NPDC1
NA	NPEPPS
NA	NPFF
NA	NPFFR1
NA	NPHP1
NA	NPM2
NA	NPNT
NA	NPPA
NA	NPR3
NA	NPRL2
NA	NPS
NA	NPTN
NA	NPW
NA	NPY
NA	NQO1
NA	NQO2
NA	NR0B1
NA	NR1D1
NA	NR1I3
NA	NR2C1
NA	NR2C2AP
NA	NR2F2
NA	NR2F6
NA	NR4A1
NA	NR4A2
NA	NRBF2
NA	NRBP2
NA	NRG4
NA	NRGN
NA	NRIP1
NA	NRIP2
NA	NRM
NA	NRN1
NA	NRSN2
NA	NSA2
NA	NSMCE1
NA	NSMCE2
NA	NSMCE4A
NA	NSUN3
NA	NT5C1B-RDH14
NA	NT5C2
NA	NT5DC2
NA	NT5DC3
NA	NT5M
NA	NTAN1
NA	NTF3
NA	NTF4
NA	NTN3
NA	NTS
NA	NUBP1
NA	NUCB2
NA	NUDC
NA	NUDCD1
NA	NUDCD3
NA	NUDT1
NA	NUDT10
NA	NUDT13
NA	NUDT14
NA	NUDT16
NA	NUDT17
NA	NUDT21
NA	NUDT22
NA	NUDT4
NA	NUDT5
NA	NUFIP1
NA	NUP153
NA	NUP214
NA	NUP35
NA	NUP37
NA	NUP43
NA	NUP50
NA	NUP62
NA	NUP85
NA	NUP93
NA	NUPL2
NA	NUSAP1
NA	NUTF2
NA	NVL
NA	NXF2
NA	NXNL1
NA	NXPH1
NA	NXT1
NA	NYX
NA	OAF
NA	OASL
NA	OAT
NA	OAZ2
NA	OCA2
NA	OCEL1
NA	OCIAD2
NA	OCM
NA	OCM2
NA	ODC1
NA	ODF3
NA	ODF3B
NA	ODF3L1
NA	OGFOD1
NA	OGFOD2
NA	OGFRL1
NA	OGG1
NA	OIP5
NA	OLA1
NA	OLIG2
NA	OLIG3
NA	OLR1
NA	OMG
NA	ONECUT1
NA	ONECUT2
NA	OPA3
NA	OPN1MW
NA	OPN1SW
NA	OPN3
NA	OPRD1
NA	OPRK1
NA	OPRL1
NA	OPTC
NA	OPTN
NA	OR10A7
NA	OR10AD1
NA	OR10V1
NA	OR11H1
NA	OR13J1
NA	OR2A4
NA	OR2A7
NA	OR2AE1
NA	OR2T35
NA	OR2T5
NA	OR2T8
NA	OR3A2
NA	OR4C3
NA	OR4C46
NA	OR4F17
NA	OR4F5
NA	OR4N2
NA	OR4N4
NA	OR4P4
NA	OR4Q3
NA	OR51I2
NA	OR52I1
NA	OR52W1
NA	OR56A1
NA	OR5A2
NA	OR5AP2
NA	OR5AU1
NA	OR5H15
NA	OR5K2
NA	OR5K4
NA	OR5M10
NA	OR5M3
NA	OR6N2
NA	OR6V1
NA	OR7A10
NA	OR7A5
NA	ORAI1
NA	ORAI2
NA	ORAI3
NA	ORC2
NA	ORC3
NA	ORC4
NA	ORC5
NA	ORM1
NA	ORMDL2
NA	ORMDL3
NA	OSBPL11
NA	OSBPL2
NA	OSBPL3
NA	OSBPL8
NA	OSBPL9
NA	OSGEPL1
NA	OSR1
NA	OSTN
NA	OTOP1
NA	OTOS
NA	OTUB1
NA	OTUB2
NA	OTUD3
NA	OTUD6B
NA	OTUD7B
NA	OTX1
NA	OVOL1
NA	OXCT2
NA	OXNAD1
NA	OXR1
NA	OXSM
NA	P2RX1
NA	P2RX4
NA	P2RX6
NA	P2RY1
NA	P4HB
NA	PA2G4
NA	PABPC1L
NA	PABPN1L
NA	PACRGL
NA	PACS2
NA	PACSIN1
NA	PACSIN2
NA	PACSIN3
NA	PAF1
NA	PAFAH1B1
NA	PAFAH2
NA	PAG1
NA	PAIP1
NA	PAIP2B
NA	PAK1IP1
NA	PAK2
NA	PALB2
NA	PALM
NA	PAN2
NA	PANK3
NA	PAPOLA
NA	PAPOLG
NA	PAPSS1
NA	PAQR3
NA	PAQR4
NA	PAQR7
NA	PAQR8
NA	PAQR9
NA	PARD6A
NA	PARD6G
NA	PARK7
NA	PARP10
NA	PARP11
NA	PARP16
NA	PARP2
NA	PARVA
NA	PARVB
NA	PATE1
NA	PATE2
NA	PATZ1
NA	PAWR
NA	PAX4
NA	PAX5
NA	PBK
NA	PBOV1
NA	PBX4
NA	PBXIP1
NA	PCBD2
NA	PCBP1
NA	PCBP3
NA	PCBP4
NA	PCDHB13
NA	PCGF2
NA	PCGF6
NA	PCID2
NA	PCIF1
NA	PCK2
NA	PCM1
NA	PCMTD1
NA	PCMTD2
NA	PCNA
NA	PCNP
NA	PCP4
NA	PCTP
NA	PCYOX1
NA	PCYT1A
NA	PDAP1
NA	PDCD1
NA	PDCD10
NA	PDCD2
NA	PDCD2L
NA	PDCD4
NA	PDCD6IP
NA	PDCD7
NA	PDCL2
NA	PDCL3
NA	PDE4DIP
NA	PDE6G
NA	PDE6H
NA	PDE7A
NA	PDE8A
NA	PDE8B
NA	PDGFA
NA	PDGFRA
NA	PDIA3
NA	PDIA5
NA	PDIA6
NA	PDIK1L
NA	PDK1
NA	PDLIM7
NA	PDPK1
NA	PDPN
NA	PDPR
NA	PDS5A
NA	PDSS1
NA	PDXDC1
NA	PDXK
NA	PDZD9
NA	PECR
NA	PEF1
NA	PELI1
NA	PELI3
NA	PELP1
NA	PEPD
NA	PES1
NA	PEX1
NA	PEX10
NA	PEX11G
NA	PEX13
NA	PEX14
NA	PEX26
NA	PEX3
NA	PEX7
NA	PF4
NA	PFDN2
NA	PFDN4
NA	PFN4
NA	PGA3
NA	PGA5
NA	PGAM2
NA	PGAM5
NA	PGAP1
NA	PGBD5
NA	PGK1
NA	PGLS
NA	PGLYRP1
NA	PGP
NA	PGPEP1
NA	PGPEP1L
NA	PGRMC1
NA	PGRMC2
NA	PHACTR4
NA	PHAX
NA	PHB
NA	PHB2
NA	PHC2
NA	PHF1
NA	PHF11
NA	PHF13
NA	PHF19
NA	PHF20
NA	PHF20L1
NA	PHF23
NA	PHF5A
NA	PHF7
NA	PHGDH
NA	PHIP
NA	PHKG1
NA	PHLDA1
NA	PHOSPHO2
NA	PHTF2
NA	PHYHIP
NA	PI15
NA	PI4K2A
NA	PIAS1
NA	PIAS2
NA	PIAS4
NA	PIBF1
NA	PIGA
NA	PIGB
NA	PIGC
NA	PIGF
NA	PIGH
NA	PIGL
NA	PIGM
NA	PIGN
NA	PIGU
NA	PIGW
NA	PIH1D1
NA	PIH1D2
NA	PIK3R3
NA	PIK3R4
NA	PILRB
NA	PIN1
NA	PIN4
NA	PIP4K2C
NA	PIP5K1A
NA	PIRT
NA	PISD
NA	PITHD1
NA	PITPNB
NA	PITPNC1
NA	PITX1
NA	PJA2
NA	PKIA
NA	PKIG
NA	PKMYT1
NA	PKN2
NA	PKNOX1
NA	PKP1
NA	PLA1A
NA	PLA2G12A
NA	PLA2G12B
NA	PLA2G1B
NA	PLAC1
NA	PLAC8
NA	PLAC8L1
NA	PLAC9
NA	PLAT
NA	PLAU
NA	PLAUR
NA	PLBD2
NA	PLEK2
NA	PLEKHA1
NA	PLEKHA3
NA	PLEKHA6
NA	PLEKHA8
NA	PLEKHB1
NA	PLEKHB2
NA	PLEKHF2
NA	PLEKHG3
NA	PLEKHM1
NA	PLEKHM2
NA	PLGRKT
NA	PLIN3
NA	PLK3
NA	PLLP
NA	PLSCR5
NA	PLVAP
NA	PLXNA2
NA	PM20D2
NA	PMEL
NA	PMF1-BGLAP
NA	PMM1
NA	PMP22
NA	PMPCA
NA	PMVK
NA	PNLIP
NA	PNMA1
NA	PNMT
NA	PNN
NA	PNO1
NA	PNOC
NA	PNPLA2
NA	PNPLA5
NA	PNPO
NA	PNPT1
NA	PNRC1
NA	POC1A
NA	POC5
NA	PODXL2
NA	POFUT1
NA	POFUT2
NA	POGZ
NA	POLB
NA	POLD2
NA	POLD4
NA	POLDIP3
NA	POLE2
NA	POLG2
NA	POLH
NA	POLL
NA	POLM
NA	POLR1A
NA	POLR2E
NA	POLR2F
NA	POLR2G
NA	POLR2I
NA	POLR3B
NA	POLR3D
NA	POLR3F
NA	POLR3G
NA	POLR3H
NA	POLR3K
NA	POM121
NA	POMC
NA	POMGNT1
NA	PON2
NA	POP7
NA	POPDC3
NA	POR
NA	POTEH
NA	POTEM
NA	POU2F1
NA	POU3F2
NA	POU3F3
NA	POU4F1
NA	POU4F2
NA	PPA2
NA	PPBP
NA	PPCDC
NA	PPCS
NA	PPDPF
NA	PPFIBP2
NA	PPHLN1
NA	PPIA
NA	PPIAL4G
NA	PPIC
NA	PPID
NA	PPIE
NA	PPIF
NA	PPIG
NA	PPIL3
NA	PPIL4
NA	PPIL6
NA	PPL
NA	PPM1A
NA	PPM1B
NA	PPM1F
NA	PPM1G
NA	PPM1K
NA	PPM1M
NA	PPME1
NA	PPP1CA
NA	PPP1CC
NA	PPP1R11
NA	PPP1R12B
NA	PPP1R12C
NA	PPP1R14A
NA	PPP1R14C
NA	PPP1R14D
NA	PPP1R17
NA	PPP1R1A
NA	PPP1R1B
NA	PPP1R1C
NA	PPP1R2
NA	PPP1R21
NA	PPP1R32
NA	PPP1R35
NA	PPP1R36
NA	PPP1R3B
NA	PPP1R3D
NA	PPP1R42
NA	PPP1R8
NA	PPP2CB
NA	PPP2R3A
NA	PPP2R3C
NA	PPP2R5A
NA	PPP2R5C
NA	PPP2R5E
NA	PPP3CB
NA	PPP3CC
NA	PPP3R1
NA	PPP4C
NA	PPP4R1
NA	PPP4R2
NA	PPT2
NA	PPY
NA	PQBP1
NA	PQLC2
NA	PQLC3
NA	PRADC1
NA	PRAMEF14
NA	PRAMEF16
NA	PRAMEF18
NA	PRAMEF22
NA	PRAMEF6
NA	PRB1
NA	PRCP
NA	PRDM5
NA	PRDM7
NA	PRDM8
NA	PRDX2
NA	PRDX3
NA	PRDX5
NA	PRDX6
NA	PREB
NA	PRELID1
NA	PRELID2
NA	PRG3
NA	PRH2
NA	PRICKLE3
NA	PRICKLE4
NA	PRIM1
NA	PRIM2
NA	PRKAA1
NA	PRKAB1
NA	PRKAB2
NA	PRKACA
NA	PRKACB
NA	PRKAG1
NA	PRKAR1B
NA	PRKCH
NA	PRKCSH
NA	PRKD2
NA	PRKRA
NA	PRL
NA	PRM1
NA	PRM2
NA	PRMT1
NA	PRMT5
NA	PRNP
NA	PROC
NA	PRODH
NA	PROK1
NA	PROK2
NA	PROZ
NA	PRPF38A
NA	PRPF39
NA	PRPH
NA	PRR11
NA	PRR14
NA	PRR15L
NA	PRR19
NA	PRR22
NA	PRR4
NA	PRR5L
NA	PRRC1
NA	PRRG2
NA	PRRG4
NA	PRRT2
NA	PRRT3
NA	PRRX1
NA	PRRX2
NA	PRSS21
NA	PRSS23
NA	PRSS27
NA	PRSS33
NA	PRSS48
NA	PRSS8
NA	PRTFDC1
NA	PRTN3
NA	PSEN1
NA	PSENEN
NA	PSKH1
NA	PSMA2
NA	PSMA4
NA	PSMA6
NA	PSMA8
NA	PSMB11
NA	PSMB2
NA	PSMB4
NA	PSMB6
NA	PSMB7
NA	PSMB8
NA	PSMC1
NA	PSMC2
NA	PSMC3IP
NA	PSMC4
NA	PSMC5
NA	PSMC6
NA	PSMD1
NA	PSMD11
NA	PSMD12
NA	PSMD13
NA	PSMD6
NA	PSMD7
NA	PSMD9
NA	PSME2
NA	PSME3
NA	PSMG1
NA	PSMG2
NA	PSORS1C2
NA	PSPC1
NA	PSPN
NA	PSTPIP2
NA	PTAR1
NA	PTBP2
NA	PTCD3
NA	PTCHD4
NA	PTCRA
NA	PTDSS2
NA	PTER
NA	PTF1A
NA	PTGDS
NA	PTGER1
NA	PTGER4
NA	PTGES
NA	PTGR1
NA	PTH
NA	PTH1R
NA	PTH2
NA	PTHLH
NA	PTMA
NA	PTN
NA	PTP4A2
NA	PTP4A3
NA	PTPDC1
NA	PTPN1
NA	PTPN11
NA	PTPN4
NA	PTPN6
NA	PTPRJ
NA	PTPRM
NA	PTRH2
NA	PTRHD1
NA	PTTG1
NA	PUF60
NA	PUM2
NA	PURB
NA	PURG
NA	PUS1
NA	PUS10
NA	PUS3
NA	PUS7
NA	PUS7L
NA	PUSL1
NA	PVALB
NA	PWP1
NA	PWP2
NA	PXDC1
NA	PXMP2
NA	PXMP4
NA	PXN
NA	PXT1
NA	PYDC1
NA	PYDC2
NA	PYGO1
NA	PYROXD1
NA	QKI
NA	QPCT
NA	QPCTL
NA	QPRT
NA	QRFPR
NA	QTRT1
NA	R3HDM2
NA	R3HDM4
NA	R3HDML
NA	RAB10
NA	RAB11A
NA	RAB11B
NA	RAB11FIP3
NA	RAB11FIP4
NA	RAB13
NA	RAB15
NA	RAB17
NA	RAB19
NA	RAB1A
NA	RAB1B
NA	RAB20
NA	RAB21
NA	RAB23
NA	RAB25
NA	RAB27A
NA	RAB28
NA	RAB2A
NA	RAB30
NA	RAB31
NA	RAB34
NA	RAB37
NA	RAB38
NA	RAB3A
NA	RAB3B
NA	RAB3D
NA	RAB3GAP2
NA	RAB40C
NA	RAB41
NA	RAB4A
NA	RAB4B
NA	RAB5A
NA	RAB5B
NA	RAB6A
NA	RAB6B
NA	RAB6C
NA	RAB8A
NA	RAB8B
NA	RAB9B
NA	RABAC1
NA	RABEPK
NA	RABGGTA
NA	RABGGTB
NA	RABL2A
NA	RABL2B
NA	RAC1
NA	RACGAP1
NA	RAD1
NA	RAD23A
NA	RAD23B
NA	RAD51
NA	RAD51AP1
NA	RAD51B
NA	RAD51C
NA	RAD54L
NA	RAD9A
NA	RAD9B
NA	RAE1
NA	RAET1E
NA	RAET1G
NA	RAI14
NA	RALA
NA	RALGDS
NA	RALGPS2
NA	RALYL
NA	RAMP1
NA	RAMP2
NA	RAMP3
NA	RANBP1
NA	RANBP10
NA	RANBP3
NA	RANGAP1
NA	RAP1A
NA	RAP1B
NA	RAP2A
NA	RAPGEF5
NA	RAPGEF6
NA	RAPH1
NA	RARRES1
NA	RARRES3
NA	RARS2
NA	RASA1
NA	RASA2
NA	RASA4
NA	RASL10A
NA	RASL10B
NA	RASL11A
NA	RASL12
NA	RASSF2
NA	RASSF3
NA	RASSF5
NA	RASSF8
NA	RASSF9
NA	RAX
NA	RBAK
NA	RBBP7
NA	RBCK1
NA	RBFA
NA	RBFOX2
NA	RBL1
NA	RBM12
NA	RBM15B
NA	RBM18
NA	RBM23
NA	RBM25
NA	RBM26
NA	RBM3
NA	RBM39
NA	RBM43
NA	RBM7
NA	RBMS1
NA	RBMXL1
NA	RBP1
NA	RBP5
NA	RBP7
NA	RBPJL
NA	RBPMS2
NA	RCAN3
NA	RCBTB2
NA	RCC2
NA	RCE1
NA	RCL1
NA	RCN2
NA	RCN3
NA	RCOR1
NA	RCOR2
NA	RCOR3
NA	RDH11
NA	RDH12
NA	RDH13
NA	RDH16
NA	RDH5
NA	RDM1
NA	REC8
NA	RECQL5
NA	REEP5
NA	REEP6
NA	REG3A
NA	REL
NA	RELB
NA	RELL1
NA	RELL2
NA	REM1
NA	REM2
NA	RENBP
NA	RER1
NA	REST
NA	RETN
NA	RFC2
NA	RFC3
NA	RFC4
NA	RFC5
NA	RFPL1
NA	RFPL2
NA	RFPL3
NA	RFTN2
NA	RFWD3
NA	RFX1
NA	RGCC
NA	RGMB
NA	RGN
NA	RGP1
NA	RGPD2
NA	RGR
NA	RGS1
NA	RGS10
NA	RGS14
NA	RGS17
NA	RGS18
NA	RGS19
NA	RGS2
NA	RGS20
NA	RGS4
NA	RGS5
NA	RHBDD1
NA	RHBDL1
NA	RHBDL3
NA	RHEB
NA	RHOC
NA	RHOD
NA	RHOG
NA	RHOQ
NA	RHOT1
NA	RHOU
NA	RHPN1
NA	RIC8B
NA	RILP
NA	RILPL1
NA	RILPL2
NA	RIMBP3
NA	RIMBP3B
NA	RIMKLB
NA	RIMS4
NA	RIN2
NA	RIOK1
NA	RIOK3
NA	RIPK1
NA	RIPK2
NA	RIPK3
NA	RIPPLY2
NA	RIT1
NA	RIT2
NA	RLBP1
NA	RMI1
NA	RMI2
NA	RMND1
NA	RMND5A
NA	RNASE1
NA	RNASE10
NA	RNASE11
NA	RNASE12
NA	RNASE2
NA	RNASE4
NA	RNASE6
NA	RNASE7
NA	RNASE8
NA	RNASEH2B
NA	RNASEH2C
NA	RND1
NA	RND2
NA	RND3
NA	RNF113B
NA	RNF121
NA	RNF122
NA	RNF125
NA	RNF13
NA	RNF130
NA	RNF133
NA	RNF14
NA	RNF141
NA	RNF144A
NA	RNF144B
NA	RNF145
NA	RNF148
NA	RNF149
NA	RNF169
NA	RNF180
NA	RNF181
NA	RNF185
NA	RNF186
NA	RNF19A
NA	RNF212
NA	RNF215
NA	RNF24
NA	RNF25
NA	RNF26
NA	RNF32
NA	RNF39
NA	RNF40
NA	RNF7
NA	RNFT1
NA	RNH1
NA	RNPC3
NA	RNPEPL1
NA	ROCK2
NA	ROM1
NA	ROMO1
NA	ROPN1
NA	ROPN1B
NA	RP9
NA	RPA2
NA	RPA3
NA	RPF1
NA	RPIA
NA	RPL10L
NA	RPL11
NA	RPL12
NA	RPL13
NA	RPL14
NA	RPL18
NA	RPL19
NA	RPL21
NA	RPL22
NA	RPL24
NA	RPL26
NA	RPL26L1
NA	RPL27
NA	RPL27A
NA	RPL29
NA	RPL3
NA	RPL30
NA	RPL32
NA	RPL34
NA	RPL35
NA	RPL35A
NA	RPL36AL
NA	RPL39
NA	RPL3L
NA	RPL4
NA	RPL7L1
NA	RPLP2
NA	RPP25
NA	RPP25L
NA	RPP30
NA	RPP40
NA	RPRD1A
NA	RPRD1B
NA	RPRM
NA	RPS11
NA	RPS13
NA	RPS14
NA	RPS16
NA	RPS20
NA	RPS24
NA	RPS26
NA	RPS27
NA	RPS27A
NA	RPS3
NA	RPS3A
NA	RPS5
NA	RPS6
NA	RPS6KA5
NA	RPS6KB1
NA	RPS6KB2
NA	RPS6KL1
NA	RPS7
NA	RPS8
NA	RPS9
NA	RPSA
NA	RPUSD2
NA	RPUSD3
NA	RPUSD4
NA	RRBP1
NA	RRH
NA	RRM1
NA	RRNAD1
NA	RRP8
NA	RRS1
NA	RSAD2
NA	RSL1D1
NA	RSPH10B
NA	RSPH4A
NA	RTBDN
NA	RTCA
NA	RTEL1
NA	RTF1
NA	RTN4IP1
NA	RTN4RL2
NA	RTP4
NA	RUFY1
NA	RUFY3
NA	RUNX1
NA	RUNX1T1
NA	RUNX3
NA	RUSC1
NA	RUVBL1
NA	RUVBL2
NA	RWDD1
NA	RWDD2A
NA	RWDD2B
NA	RWDD4
NA	RXFP3
NA	RXRA
NA	S100A1
NA	S100A10
NA	S100A13
NA	S100A14
NA	S100A16
NA	S100A2
NA	S100A3
NA	S100A7
NA	S100A9
NA	S100P
NA	S100PBP
NA	S1PR2
NA	SAAL1
NA	SAE1
NA	SAFB2
NA	SAMD10
NA	SAMD13
NA	SAMD4A
NA	SAMD8
NA	SAMM50
NA	SAMSN1
NA	SAP18
NA	SAPCD1
NA	SARS
NA	SARS2
NA	SART1
NA	SAV1
NA	SAYSD1
NA	SBDS
NA	SBSN
NA	SCAMP1
NA	SCAMP2
NA	SCAMP3
NA	SCARB1
NA	SCCPDH
NA	SCFD1
NA	SCG5
NA	SCGB1A1
NA	SCGB1C1
NA	SCGB1D2
NA	SCGB2A1
NA	SCGB3A2
NA	SCIMP
NA	SCIN
NA	SCLT1
NA	SCLY
NA	SCN1B
NA	SCNM1
NA	SCP2
NA	SCRT2
NA	SCUBE3
NA	SCYL2
NA	SCYL3
NA	SDC2
NA	SDCBP
NA	SDCCAG8
NA	SDF2L1
NA	SDF4
NA	SDHA
NA	SDHC
NA	SDR39U1
NA	SDR9C7
NA	SDS
NA	SEBOX
NA	SEC14L2
NA	SEC22A
NA	SEC22C
NA	SEC23A
NA	SEC23IP
NA	SEC61A1
NA	SEC62
NA	SECISBP2L
NA	SECTM1
NA	SEH1L
NA	SEL1L
NA	SEL1L2
NA	SELM
NA	SELT
NA	SELV
NA	SEMA3C
NA	SEMA4A
NA	SEMA6A
NA	SEMA6D
NA	SEMA7A
NA	SENP1
NA	SENP5
NA	SEPHS1
NA	SEPSECS
NA	SEPT1
NA	SEPT10
NA	SEPT2
NA	SEPT4
NA	SEPT5
NA	SERAC1
NA	SERGEF
NA	SERHL2
NA	SERINC2
NA	SERINC4
NA	SERINC5
NA	SERPINA12
NA	SERPINA4
NA	SERPINB1
NA	SERPINB13
NA	SERPINB6
NA	SERPINB9
NA	SERPINE1
NA	SERPINI2
NA	SERTAD3
NA	SERTM1
NA	SESN1
NA	SESN2
NA	SETD3
NA	SETD4
NA	SETD7
NA	SETDB2
NA	SF3A3
NA	SF3B4
NA	SFRP4
NA	SFRP5
NA	SFT2D2
NA	SFTA2
NA	SFTA3
NA	SFTPB
NA	SFXN3
NA	SGK1
NA	SGK3
NA	SGMS2
NA	SGPL1
NA	SGPP1
NA	SGPP2
NA	SGTA
NA	SGTB
NA	SH2B2
NA	SH2B3
NA	SH2D1B
NA	SH2D3A
NA	SH2D5
NA	SH3BGR
NA	SH3BGRL2
NA	SH3BGRL3
NA	SH3BP2
NA	SH3BP5L
NA	SH3GL3
NA	SH3GLB2
NA	SH3PXD2A
NA	SH3YL1
NA	SHANK2
NA	SHARPIN
NA	SHC4
NA	SHCBP1
NA	SHISA5
NA	SHKBP1
NA	SHMT1
NA	SHMT2
NA	SHOX
NA	SHQ1
NA	SIAE
NA	SIAH2
NA	SIDT2
NA	SIGIRR
NA	SIKE1
NA	SIPA1L2
NA	SIRPA
NA	SIRT2
NA	SIRT5
NA	SIRT6
NA	SIRT7
NA	SIVA1
NA	SIX2
NA	SIX4
NA	SIX5
NA	SKA1
NA	SKAP2
NA	SKP2
NA	SLA2
NA	SLAMF7
NA	SLAMF9
NA	SLBP
NA	SLC10A1
NA	SLC12A2
NA	SLC12A7
NA	SLC12A9
NA	SLC13A4
NA	SLC16A10
NA	SLC16A4
NA	SLC16A6
NA	SLC16A7
NA	SLC17A3
NA	SLC17A5
NA	SLC18A3
NA	SLC18B1
NA	SLC19A1
NA	SLC19A2
NA	SLC19A3
NA	SLC1A2
NA	SLC1A3
NA	SLC1A4
NA	SLC22A17
NA	SLC22A18
NA	SLC22A23
NA	SLC22A4
NA	SLC23A2
NA	SLC25A10
NA	SLC25A15
NA	SLC25A16
NA	SLC25A20
NA	SLC25A26
NA	SLC25A32
NA	SLC25A35
NA	SLC25A38
NA	SLC25A4
NA	SLC25A42
NA	SLC25A5
NA	SLC25A51
NA	SLC25A6
NA	SLC28A1
NA	SLC2A4RG
NA	SLC2A8
NA	SLC30A2
NA	SLC30A6
NA	SLC30A7
NA	SLC31A1
NA	SLC31A2
NA	SLC32A1
NA	SLC33A1
NA	SLC35A3
NA	SLC35A4
NA	SLC35B1
NA	SLC35B2
NA	SLC35B3
NA	SLC35D1
NA	SLC35D2
NA	SLC35E1
NA	SLC35E3
NA	SLC35E4
NA	SLC35G1
NA	SLC35G2
NA	SLC36A4
NA	SLC37A4
NA	SLC38A2
NA	SLC39A1
NA	SLC39A10
NA	SLC39A12
NA	SLC39A13
NA	SLC39A14
NA	SLC39A2
NA	SLC39A3
NA	SLC39A9
NA	SLC41A3
NA	SLC43A1
NA	SLC44A1
NA	SLC44A4
NA	SLC45A2
NA	SLC45A3
NA	SLC46A1
NA	SLC46A2
NA	SLC4A1AP
NA	SLC50A1
NA	SLC5A2
NA	SLC6A9
NA	SLC7A6OS
NA	SLC7A9
NA	SLC9A8
NA	SLCO4A1
NA	SLFN5
NA	SLFNL1
NA	SLPI
NA	SLU7
NA	SLX4
NA	SMAD4
NA	SMAD5
NA	SMAD7
NA	SMAGP
NA	SMARCA5
NA	SMARCAD1
NA	SMARCB1
NA	SMARCD1
NA	SMARCE1
NA	SMC2
NA	SMCP
NA	SMG1
NA	SMG9
NA	SMOX
NA	SMPD1
NA	SMPD2
NA	SMPD4
NA	SMPDL3A
NA	SMTNL1
NA	SMU1
